3.457;20.559;-7.644;0.037;-0.99894;0.04602;20171223-090603.457;441;208
3.497;20.328;-7.634;0.036;-0.99894;0.04602;20171223-090603.497;441;210
3.537;20.098;-7.623;0.035;-0.99894;0.04602;20171223-090603.537;441;212
3.577;19.867;-7.613;0.034;-0.99894;0.04602;20171223-090603.577;442;214
3.617;19.636;-7.602;0.032;-0.99894;0.04602;20171223-090603.617;442;216
3.657;19.406;-7.591;0.031;-0.99894;0.04602;20171223-090603.657;442;218
3.697;19.171;-7.579;0.030;-0.99894;0.04602;20171223-090603.697;443;221
3.737;18.932;-7.564;0.028;-0.99894;0.04602;20171223-090603.737;443;223
3.777;18.695;-7.551;0.027;-0.99888;0.04734;20171223-090603.777;444;225
3.817;18.457;-7.536;0.026;-0.99888;0.04734;20171223-090603.817;444;227
3.857;18.218;-7.522;0.025;-0.99879;0.04927;20171223-090603.857;445;230
3.897;17.977;-7.506;0.023;-0.99871;0.05087;20171223-090603.897;445;232
3.937;17.736;-7.490;0.022;-0.99861;0.05278;20171223-090603.937;446;234
3.977;17.493;-7.474;0.021;-0.99849;0.05499;20171223-090603.977;446;237
4.017;17.250;-7.456;0.019;-0.99824;0.05933;20171223-090604.017;447;239
4.057;17.008;-7.435;0.018;-0.99812;0.06130;20171223-090604.057;448;242
4.097;16.766;-7.413;0.017;-0.99804;0.06253;20171223-090604.097;448;244
4.137;16.524;-7.389;0.015;-0.99785;0.06558;20171223-090604.137;449;247
4.177;16.282;-7.363;0.014;-0.99758;0.06956;20171223-090604.177;450;249
4.217;16.042;-7.336;0.013;-0.99722;0.07447;20171223-090604.217;451;252
4.257;15.803;-7.308;0.012;-0.99677;0.08031;20171223-090604.257;452;254
4.297;15.566;-7.278;0.010;-0.99620;0.08710;20171223-090604.297;453;257
4.337;15.330;-7.247;0.009;-0.99552;0.09452;20171223-090604.337;455;259
4.377;15.096;-7.215;0.008;-0.99482;0.10164;20171223-090604.377;456;262
4.417;14.862;-7.179;0.007;-0.99410;0.10848;20171223-090604.417;457;264
4.457;14.628;-7.140;0.006;-0.99336;0.11504;20171223-090604.457;459;267
