Type: car
Length, m: 4.40
Width, m: 1.57
Height, m: 1.20
Weight, kg: 1300
Frames: 730-870
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
8.839;19.358;3.674;0.000;NoValue;-0.06392;-0.99795;8.83936;19.35815;-0.06976;-0.99756
8.830;19.211;3.674;0.000;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.821;19.065;3.674;0.000;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.811;18.918;3.674;0.182;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.802;18.771;3.674;0.437;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.792;18.625;3.674;0.613;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.783;18.478;3.684;0.793;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.774;18.332;3.725;0.974;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.764;18.185;3.787;1.157;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.755;18.038;3.832;1.323;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.745;17.892;3.884;1.499;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.736;17.745;3.944;1.686;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.727;17.598;4.011;1.863;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.717;17.446;4.086;2.028;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.706;17.290;4.169;2.168;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.696;17.128;4.259;2.253;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.685;16.961;4.356;2.298;NoValue;-0.06392;-0.99795;NoValue;NoValue;NoValue;NoValue
8.673;16.789;4.461;2.359;NoValue;-0.06400;-0.99795;NoValue;NoValue;NoValue;NoValue
8.661;16.612;4.574;2.400;NoValue;-0.06415;-0.99794;NoValue;NoValue;NoValue;NoValue
8.648;16.429;4.693;2.421;NoValue;-0.06442;-0.99792;NoValue;NoValue;NoValue;NoValue
8.635;16.242;4.821;2.422;NoValue;-0.06474;-0.99790;8.65147;16.42487;-0.06976;-0.99756
8.622;16.050;4.941;2.402;NoValue;-0.06513;-0.99788;NoValue;NoValue;NoValue;NoValue
8.608;15.852;5.053;2.363;NoValue;-0.06558;-0.99785;NoValue;NoValue;NoValue;NoValue
8.594;15.650;5.158;2.303;NoValue;-0.06629;-0.99780;NoValue;NoValue;NoValue;NoValue
8.579;15.442;5.257;2.224;NoValue;-0.06689;-0.99776;NoValue;NoValue;NoValue;NoValue
