Type: car
Length, m: 4.80
Width, m: 1.60
Height, m: 1.26
Weight, kg: 1300
Frames: 46-136
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
6.225;-7.752;10.482;1.610;NoValue;-0.99997;-0.00823;NoValue;NoValue;NoValue;NoValue
5.803;-7.756;10.544;1.560;NoValue;-0.99997;-0.00814;NoValue;NoValue;NoValue;NoValue
5.377;-7.761;10.606;1.505;NoValue;-0.99996;-0.00844;NoValue;NoValue;NoValue;NoValue
4.951;-7.767;10.669;1.473;NoValue;-0.99996;-0.00924;NoValue;NoValue;NoValue;NoValue
4.523;-7.773;10.734;1.464;NoValue;-0.99995;-0.01003;4.55399;-7.75490;-1.00000;0.00000
4.094;-7.779;10.796;1.460;NoValue;-0.99994;-0.01098;NoValue;NoValue;NoValue;NoValue
3.664;-7.787;10.855;1.461;NoValue;-0.99993;-0.01209;NoValue;NoValue;NoValue;NoValue
3.233;-7.795;10.912;1.451;NoValue;-0.99991;-0.01336;NoValue;NoValue;NoValue;NoValue
2.799;-7.803;10.966;1.430;NoValue;-0.99989;-0.01481;NoValue;NoValue;NoValue;NoValue
2.361;-7.813;11.018;1.399;NoValue;-0.99987;-0.01625;NoValue;NoValue;NoValue;NoValue
1.921;-7.824;11.063;1.374;NoValue;-0.99984;-0.01783;NoValue;NoValue;NoValue;NoValue
1.477;-7.836;11.116;1.343;NoValue;-0.99981;-0.01955;NoValue;NoValue;NoValue;NoValue
1.031;-7.848;11.179;1.312;NoValue;-0.99977;-0.02140;NoValue;NoValue;NoValue;NoValue
0.582;-7.861;11.240;1.310;NoValue;-0.99973;-0.02338;NoValue;NoValue;NoValue;NoValue
0.132;-7.874;11.299;1.256;NoValue;-0.99968;-0.02533;0.18727;-7.86588;-1.00000;0.00000
-0.321;-7.888;11.353;1.166;NoValue;-0.99964;-0.02691;NoValue;NoValue;NoValue;NoValue
-0.775;-7.902;11.402;1.079;NoValue;-0.99960;-0.02813;NoValue;NoValue;NoValue;NoValue
-1.232;-7.916;11.445;1.004;NoValue;-0.99958;-0.02901;NoValue;NoValue;NoValue;NoValue
-1.685;-7.929;11.494;0.936;NoValue;-0.99956;-0.02955;NoValue;NoValue;NoValue;NoValue
-2.145;-7.944;11.539;0.833;NoValue;-0.99955;-0.03008;NoValue;NoValue;NoValue;NoValue
-2.611;-7.959;11.583;0.734;NoValue;-0.99954;-0.03027;NoValue;NoValue;NoValue;NoValue
-3.077;-7.975;11.641;0.615;NoValue;-0.99953;-0.03074;NoValue;NoValue;NoValue;NoValue
-3.544;-7.991;11.666;0.414;NoValue;-0.99950;-0.03152;NoValue;NoValue;NoValue;NoValue
-4.010;-8.006;11.666;0.000;NoValue;-0.99948;-0.03216;NoValue;NoValue;NoValue;NoValue
-4.476;-8.022;11.666;0.000;NoValue;-0.99946;-0.03299;-4.47642;-8.02185;-0.99939;-0.03490

Type: car
Length, m: 5.20
Width, m: 1.75
Height, m: 1.36
Weight, kg: 1300
Frames: 246-306
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
22.243;-10.808;7.769;0.000;NoValue;-0.99996;0.00902;22.24251;-10.80802;-0.99939;0.03490
21.932;-10.805;7.769;3.548;NoValue;-0.99996;0.00902;NoValue;NoValue;NoValue;NoValue
21.621;-10.802;7.769;4.878;NoValue;-0.99996;0.00902;NoValue;NoValue;NoValue;NoValue
21.310;-10.800;8.194;5.404;NoValue;-0.99996;0.00902;NoValue;NoValue;NoValue;NoValue
21.000;-10.797;8.464;5.447;NoValue;-0.99996;0.00902;NoValue;NoValue;NoValue;NoValue
20.689;-10.794;8.744;5.495;NoValue;-0.99996;0.00902;NoValue;NoValue;NoValue;NoValue
20.337;-10.783;9.030;5.297;NoValue;-0.99996;0.00902;NoValue;NoValue;NoValue;NoValue
19.949;-10.765;9.282;4.799;NoValue;-0.99996;0.00902;NoValue;NoValue;NoValue;NoValue
19.579;-10.751;9.502;4.871;NoValue;-0.99992;0.01303;NoValue;NoValue;NoValue;NoValue
19.197;-10.734;9.730;4.896;NoValue;-0.99980;0.02014;NoValue;NoValue;NoValue;NoValue
18.803;-10.715;9.964;4.165;NoValue;-0.99968;0.02522;19.13519;-10.77999;-0.99756;0.06976
18.397;-10.694;10.186;3.647;NoValue;-0.99940;0.03470;NoValue;NoValue;NoValue;NoValue
17.980;-10.670;10.396;3.065;NoValue;-0.99913;0.04174;NoValue;NoValue;NoValue;NoValue
17.550;-10.644;10.523;2.468;NoValue;-0.99894;0.04598;NoValue;NoValue;NoValue;NoValue
17.117;-10.616;10.577;1.926;NoValue;-0.99884;0.04818;NoValue;NoValue;NoValue;NoValue
16.679;-10.585;10.648;1.431;NoValue;-0.99862;0.05246;NoValue;NoValue;NoValue;NoValue
16.238;-10.551;10.691;0.919;NoValue;-0.99839;0.05680;NoValue;NoValue;NoValue;NoValue
15.792;-10.515;10.706;0.392;NoValue;-0.99799;0.06331;NoValue;NoValue;NoValue;NoValue
15.342;-10.477;10.693;-0.084;NoValue;-0.99768;0.06806;NoValue;NoValue;NoValue;NoValue
14.900;-10.438;10.652;-0.509;NoValue;-0.99732;0.07311;NoValue;NoValue;NoValue;NoValue
14.465;-10.399;10.583;-0.768;NoValue;-0.99695;0.07806;14.24817;-10.40497;-0.99756;0.06976
14.038;-10.360;10.511;-0.873;NoValue;-0.99662;0.08218;NoValue;NoValue;NoValue;NoValue
13.619;-10.321;10.437;-0.978;NoValue;-0.99633;0.08556;NoValue;NoValue;NoValue;NoValue
13.208;-10.281;10.361;-1.021;NoValue;-0.99624;0.08668;NoValue;NoValue;NoValue;NoValue
12.802;-10.241;10.281;-1.003;NoValue;-0.99601;0.08926;NoValue;NoValue;NoValue;NoValue
12.401;-10.200;10.200;-0.923;NoValue;-0.99582;0.09135;NoValue;NoValue;NoValue;NoValue
12.004;-10.158;10.136;-0.781;NoValue;-0.99560;0.09367;NoValue;NoValue;NoValue;NoValue
11.613;-10.115;10.090;-0.579;NoValue;-0.99536;0.09624;NoValue;NoValue;NoValue;NoValue
11.227;-10.071;10.062;-0.374;NoValue;-0.99508;0.09905;NoValue;NoValue;NoValue;NoValue
10.838;-10.027;10.053;-0.169;NoValue;-0.99477;0.10210;NoValue;NoValue;NoValue;NoValue
10.446;-9.982;10.061;0.039;NoValue;-0.99443;0.10540;10.52293;-9.99914;-0.99027;0.13917
10.052;-9.937;10.079;0.247;NoValue;-0.99412;0.10825;NoValue;NoValue;NoValue;NoValue
9.655;-9.891;10.105;0.458;NoValue;-0.99386;0.11061;NoValue;NoValue;NoValue;NoValue
9.255;-9.844;10.140;0.633;NoValue;-0.99366;0.11245;NoValue;NoValue;NoValue;NoValue
8.852;-9.796;10.183;0.774;NoValue;-0.99351;0.11374;NoValue;NoValue;NoValue;NoValue
8.447;-9.746;10.236;0.880;NoValue;-0.99343;0.11447;NoValue;NoValue;NoValue;NoValue
8.038;-9.695;10.287;0.951;NoValue;-0.99330;0.11560;NoValue;NoValue;NoValue;NoValue
7.626;-9.643;10.336;0.987;NoValue;-0.99312;0.11713;NoValue;NoValue;NoValue;NoValue
7.211;-9.589;10.384;1.002;NoValue;-0.99289;0.11904;NoValue;NoValue;NoValue;NoValue
6.796;-9.534;10.430;1.013;NoValue;-0.99261;0.12132;NoValue;NoValue;NoValue;NoValue
6.381;-9.478;10.474;1.022;NoValue;-0.99229;0.12397;6.38813;-9.50222;-0.98481;0.17365
5.965;-9.421;10.516;1.016;NoValue;-0.99197;0.12646;NoValue;NoValue;NoValue;NoValue
5.550;-9.364;10.555;0.994;NoValue;-0.99167;0.12879;NoValue;NoValue;NoValue;NoValue
5.134;-9.306;10.590;0.969;NoValue;-0.99138;0.13098;NoValue;NoValue;NoValue;NoValue
4.716;-9.247;10.624;0.943;NoValue;-0.99111;0.13305;NoValue;NoValue;NoValue;NoValue
4.296;-9.188;10.654;0.914;NoValue;-0.99085;0.13499;NoValue;NoValue;NoValue;NoValue
3.875;-9.129;10.680;0.895;NoValue;-0.99063;0.13659;NoValue;NoValue;NoValue;NoValue
3.452;-9.069;10.713;0.876;NoValue;-0.99045;0.13784;NoValue;NoValue;NoValue;NoValue
3.027;-9.009;10.753;0.860;NoValue;-0.99033;0.13874;NoValue;NoValue;NoValue;NoValue
2.600;-8.949;10.793;0.866;NoValue;-0.99025;0.13929;NoValue;NoValue;NoValue;NoValue
2.172;-8.890;10.832;0.836;NoValue;-0.99022;0.13949;2.21490;-8.87556;-0.98481;0.17365
1.742;-8.832;10.868;0.781;NoValue;-0.99025;0.13931;NoValue;NoValue;NoValue;NoValue
1.311;-8.774;10.902;0.730;NoValue;-0.99033;0.13876;NoValue;NoValue;NoValue;NoValue
0.879;-8.716;10.932;0.687;NoValue;-0.99046;0.13783;NoValue;NoValue;NoValue;NoValue
0.448;-8.658;10.966;0.652;NoValue;-0.99075;0.13570;NoValue;NoValue;NoValue;NoValue
0.013;-8.602;11.000;0.590;NoValue;-0.99098;0.13404;NoValue;NoValue;NoValue;NoValue
-0.427;-8.547;11.031;0.528;NoValue;-0.99106;0.13344;NoValue;NoValue;NoValue;NoValue
-0.867;-8.492;11.074;0.448;NoValue;-0.99125;0.13198;NoValue;NoValue;NoValue;NoValue
-1.307;-8.437;11.092;0.302;NoValue;-0.99158;0.12953;NoValue;NoValue;NoValue;NoValue
-1.748;-8.382;11.092;0.000;NoValue;-0.99184;0.12751;NoValue;NoValue;NoValue;NoValue
-2.188;-8.328;11.092;0.000;NoValue;-0.99217;0.12488;-2.18791;-8.32759;-0.99452;0.10453

